numero_radicado;fecha_asignacion;cod_dependencia;nombre_dependencia;nro_noticia_orfeo
20252800000041;7/01/2025;280;SECCIONAL CASANARE;
20257470000385;7/01/2025;747;SECCIONAL VALLE DEL CAUCA;
20257470000395;7/01/2025;747;SECCIONAL VALLE DEL CAUCA;
20253180000182;7/01/2025;395;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - PEREIRA;660016000036202510138
20250060001681;7/01/2025;6;SECCIONAL CALI;
20258870000485;7/01/2025;887;DIRECCION SECCIONAL NORTE DE SANTANDER;
20250100000305;7/01/2025;10;DIRECCION SECCIONAL CAUCA;
20250060000515;7/01/2025;6;SECCIONAL CALI;
20255980001695;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202512432
20250100000315;7/01/2025;10;DIRECCION SECCIONAL CAUCA;
20250370000091;7/01/2025;37;VENTANILLA UNICA DE CORRESPONDENCIA-MEDELLIN;
20250370001002;7/01/2025;71;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - MEDELLIN;
20258150001402;7/01/2025;817;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - ATLANTICO;080016001257202511131
20250060000525;7/01/2025;6;SECCIONAL CALI;
20250250000635;7/01/2025;25;DIRECCION SECCIONAL BOYACA;
20250140000405;7/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20250060000535;7/01/2025;6;SECCIONAL CALI;
20250140000415;7/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20250230000145;7/01/2025;23;DIRECCION SECCIONAL MAGDALENA;470016001020202510089
20257470000405;7/01/2025;747;SECCIONAL VALLE DEL CAUCA;
20250040000062;7/01/2025;4;DIRECCION SECCIONAL CORDOBA;
20250250000071;7/01/2025;25;DIRECCION SECCIONAL BOYACA;
20257470000415;7/01/2025;747;SECCIONAL VALLE DEL CAUCA;
20250250000645;7/01/2025;25;DIRECCION SECCIONAL BOYACA;
20250100000262;7/01/2025;10;DIRECCION SECCIONAL CAUCA;
20250040000072;7/01/2025;4;DIRECCION SECCIONAL CORDOBA;
20250030000212;7/01/2025;3;DIRECCION SECCIONAL CAQUETA;
20250060000545;7/01/2025;6;SECCIONAL CALI;
20250030000222;7/01/2025;3;DIRECCION SECCIONAL CAQUETA;
20250060000555;7/01/2025;6;SECCIONAL CALI;
20250060001691;7/01/2025;6;SECCIONAL CALI;
20250140000425;7/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20250240000315;7/01/2025;24;DIRECCION SECCIONAL NARIÑO;
20250140000435;7/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20258870000495;7/01/2025;887;DIRECCION SECCIONAL NORTE DE SANTANDER;
20250040000082;7/01/2025;4;DIRECCION SECCIONAL CORDOBA;
20250090000682;7/01/2025;9;DIRECCIÓN SECCIONAL SANTANDER;680016000160202512247
20250250000655;7/01/2025;25;DIRECCION SECCIONAL BOYACA;151766000110202510022
20250100000325;7/01/2025;10;DIRECCION SECCIONAL CAUCA;
20250040000092;7/01/2025;4;DIRECCION SECCIONAL CORDOBA;
20250040000175;7/01/2025;4;DIRECCION SECCIONAL CORDOBA;
20250060001701;7/01/2025;6;SECCIONAL CALI;
20250370001012;7/01/2025;71;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - MEDELLIN;050016000248202510956
20255980001705;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202512565
20250060001992;7/01/2025;6;SECCIONAL CALI;
20250090000692;7/01/2025;9;DIRECCIÓN SECCIONAL SANTANDER;
20252800000051;7/01/2025;280;SECCIONAL CASANARE;
20250140000445;7/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20250060000565;7/01/2025;6;SECCIONAL CALI;
20255980001715;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202510702
20250140000932;7/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20250250000665;7/01/2025;25;DIRECCION SECCIONAL BOYACA;157596099164202510023
20250200000802;7/01/2025;20;DIRECCION SECCIONAL HUILA;
20255980001725;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202511721
20250060000575;7/01/2025;6;SECCIONAL CALI;
20250140000141;7/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20257470000425;7/01/2025;747;SECCIONAL VALLE DEL CAUCA;
20255980001735;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202510696
20250140000455;7/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20250030000232;7/01/2025;3;DIRECCION SECCIONAL CAQUETA;
20250040000185;7/01/2025;4;DIRECCION SECCIONAL CORDOBA;
20250370000101;7/01/2025;37;VENTANILLA UNICA DE CORRESPONDENCIA-MEDELLIN;
20250060000585;7/01/2025;6;SECCIONAL CALI;
20250140000465;7/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20255980001745;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202511686
20250370001022;7/01/2025;71;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - MEDELLIN;
20250370001032;7/01/2025;71;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - MEDELLIN;050016000248202510964
20250060000595;7/01/2025;6;SECCIONAL CALI;
20250250000102;7/01/2025;25;DIRECCION SECCIONAL BOYACA;
20250230000152;7/01/2025;23;DIRECCION SECCIONAL MAGDALENA;470016001020202510021
20258150001412;7/01/2025;817;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - ATLANTICO;080016001257202511230
20255980001755;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202511650
20257390001422;7/01/2025;28;SECCION DE ATENCION AL USUARIO INTERV. TEMPRANA Y ASIGN. ESPE.-CUND;
20250370001042;7/01/2025;71;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - MEDELLIN;
20250060000605;7/01/2025;6;SECCIONAL CALI;
20250100000335;7/01/2025;10;DIRECCION SECCIONAL CAUCA;
20250100000345;7/01/2025;10;DIRECCION SECCIONAL CAUCA;
20250140000475;7/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20250060000615;7/01/2025;6;SECCIONAL CALI;
20255980001765;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202512551
20250370000111;7/01/2025;37;VENTANILLA UNICA DE CORRESPONDENCIA-MEDELLIN;
20255980001775;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202512542
20250060000625;7/01/2025;6;SECCIONAL CALI;
20255980001785;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202512524
20250060000635;7/01/2025;6;SECCIONAL CALI;
20255980001795;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202511609
20257470000435;7/01/2025;747;SECCIONAL VALLE DEL CAUCA;
20250060002002;7/01/2025;6;SECCIONAL CALI;
20258150001432;7/01/2025;817;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - ATLANTICO;080016001257202511234
20250200000812;7/01/2025;20;DIRECCION SECCIONAL HUILA;
20253180000192;7/01/2025;395;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - PEREIRA;660016000036202510181
20250040000195;7/01/2025;4;DIRECCION SECCIONAL CORDOBA;
20255980001805;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202512492
20250020000215;7/01/2025;2;DIRECCIÓN SECCIONAL META;
20250200000822;7/01/2025;20;DIRECCION SECCIONAL HUILA;
20250060001711;7/01/2025;6;SECCIONAL CALI;
20250370001052;7/01/2025;71;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - MEDELLIN;
20250060000645;7/01/2025;6;SECCIONAL CALI;
20250200000832;7/01/2025;20;DIRECCION SECCIONAL HUILA;
20250140000942;7/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20255980001815;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202512476
20250140000485;7/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20258170000065;7/01/2025;817;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - ATLANTICO;080016001257202510473
20250060002012;7/01/2025;6;SECCIONAL CALI;
20255980001825;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202512460
20255980000982;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202513948
20255980000992;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202515568
20255980001002;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202515566
20255980001012;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202515053
20255980001022;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202515558
20250060000655;7/01/2025;6;SECCIONAL CALI;
20255980001835;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202511608
20255980001032;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202515031
20250060001721;7/01/2025;6;SECCIONAL CALI;
20255980001042;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202515552
20255980001052;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202515540
20255980001062;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202515531
20255980001072;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202515513
20255980001082;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202515466
20250060000665;7/01/2025;6;SECCIONAL CALI;
20255980001092;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202515423
20255980001845;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202512453
20250370000121;7/01/2025;37;VENTANILLA UNICA DE CORRESPONDENCIA-MEDELLIN;
20255980001102;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202515370
20258150001442;7/01/2025;817;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - ATLANTICO;080016001257202511342
20250100000355;7/01/2025;10;DIRECCION SECCIONAL CAUCA;
20257470001452;7/01/2025;747;SECCIONAL VALLE DEL CAUCA;
20255980001112;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202515345
20250370000131;7/01/2025;37;VENTANILLA UNICA DE CORRESPONDENCIA-MEDELLIN;
20250060002022;7/01/2025;6;SECCIONAL CALI;
20250060001731;7/01/2025;6;SECCIONAL CALI;
20255980001122;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202515318
20255980001132;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202515286
20255980001142;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202515148
20250250000112;7/01/2025;25;DIRECCION SECCIONAL BOYACA;150016099163202510340
20255980001152;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202515118
20255980001162;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202515101
20255980001172;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202515072
20255980001182;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202515079
20250140000151;7/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20250140000161;7/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20255980001192;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202515163
20250140000171;7/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20250140000181;7/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20250140000191;7/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20250140000201;7/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20256110000481;7/01/2025;611;SUBDIRECCION DE GESTION DOCUMENTAL;
20250190000172;7/01/2025;19;DIRECCION SECCIONAL CESAR;
20256110000491;7/01/2025;611;SUBDIRECCION DE GESTION DOCUMENTAL;
20250140000211;7/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20250190000182;7/01/2025;19;DIRECCION SECCIONAL CESAR;
20250250000081;7/01/2025;25;DIRECCION SECCIONAL BOYACA;
20256110000501;7/01/2025;611;SUBDIRECCION DE GESTION DOCUMENTAL;
20255980001202;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202515034
20256110000511;7/01/2025;611;SUBDIRECCION DE GESTION DOCUMENTAL;
20253160000145;7/01/2025;205;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - CALDAS;
20250140000221;7/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20256110000521;7/01/2025;611;SUBDIRECCION DE GESTION DOCUMENTAL;
20256110000531;7/01/2025;611;SUBDIRECCION DE GESTION DOCUMENTAL;
20250140000231;7/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20253150000122;7/01/2025;555;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - QUINDIO;630016000059202510134
20257170000035;7/01/2025;717;PALOQUEMAO-SUBDIRECCION DE GESTION DOCUMENTAL;
20250190000192;7/01/2025;19;DIRECCION SECCIONAL CESAR;
20250370001082;7/01/2025;71;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - MEDELLIN;
20250100000365;7/01/2025;10;DIRECCION SECCIONAL CAUCA;
20250040000102;7/01/2025;4;DIRECCION SECCIONAL CORDOBA;
20250190000202;7/01/2025;19;DIRECCION SECCIONAL CESAR;
20250060002032;7/01/2025;6;SECCIONAL CALI;
20255210000282;7/01/2025;924;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOLIVAR;130016001128202510472
20250090000702;7/01/2025;9;DIRECCIÓN SECCIONAL SANTANDER;680016000160202512250
20257170000045;7/01/2025;717;PALOQUEMAO-SUBDIRECCION DE GESTION DOCUMENTAL;
20255210000292;7/01/2025;924;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOLIVAR;130016001128202510487
20250210000012;7/01/2025;21;DIRECCION SECCIONAL CHOCO;
20250100000272;7/01/2025;10;DIRECCION SECCIONAL CAUCA;
20250060001741;7/01/2025;6;SECCIONAL CALI;
20250210000022;7/01/2025;21;DIRECCION SECCIONAL CHOCO;
20250100000375;7/01/2025;10;DIRECCION SECCIONAL CAUCA;
20250370001092;7/01/2025;71;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - MEDELLIN;050016000248202511452
20255980001855;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016099069202515307
20250060001751;7/01/2025;6;SECCIONAL CALI;
20250060000675;7/01/2025;6;SECCIONAL CALI;
20250100000385;7/01/2025;10;DIRECCION SECCIONAL CAUCA;
20257170000055;7/01/2025;717;PALOQUEMAO-SUBDIRECCION DE GESTION DOCUMENTAL;
20250370001102;7/01/2025;71;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - MEDELLIN;050016000248202511061
20250210000032;7/01/2025;21;DIRECCION SECCIONAL CHOCO;
20255980001865;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016099069202515306
20253160000155;7/01/2025;205;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - CALDAS;
20250210000042;7/01/2025;21;DIRECCION SECCIONAL CHOCO;
20255980001875;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016099069202512990
20250180000132;7/01/2025;18;DIRECCION SECCIONAL SUCRE;700016001037202510061
20250100000395;7/01/2025;10;DIRECCION SECCIONAL CAUCA;
20255980001885;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016099069202515305
20250100000405;7/01/2025;10;DIRECCION SECCIONAL CAUCA;
20250210000052;7/01/2025;21;DIRECCION SECCIONAL CHOCO;
20255210000302;7/01/2025;924;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOLIVAR;130016001128202510506
20250060000685;7/01/2025;6;SECCIONAL CALI;
20255980001895;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016099069202515288
20250060001761;7/01/2025;6;SECCIONAL CALI;
20255210000312;7/01/2025;924;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOLIVAR;130016001128202510515
20255210000322;7/01/2025;924;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOLIVAR;130016001128202510523
20255980001212;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202514953
20250370001122;7/01/2025;71;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - MEDELLIN;050016000248202510967
20250210000062;7/01/2025;21;DIRECCION SECCIONAL CHOCO;
20250100000415;7/01/2025;10;DIRECCION SECCIONAL CAUCA;
20255980001905;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016099069202512982
20250060000695;7/01/2025;6;SECCIONAL CALI;
20250060001771;7/01/2025;6;SECCIONAL CALI;
20250250000675;7/01/2025;25;DIRECCION SECCIONAL BOYACA;
20257470000445;7/01/2025;747;SECCIONAL VALLE DEL CAUCA;
20255980001915;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016099069202513132
20250060001781;7/01/2025;6;SECCIONAL CALI;
20250370001132;7/01/2025;71;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - MEDELLIN;050016000248202510962
20255980001925;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016099069202515277
20255980001222;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016000052202514914
20250060000705;7/01/2025;6;SECCIONAL CALI;
20255980001935;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016099069202513136
20250040000112;7/01/2025;4;DIRECCION SECCIONAL CORDOBA;
20250250000685;7/01/2025;25;DIRECCION SECCIONAL BOYACA;
20257390001462;7/01/2025;28;SECCION DE ATENCION AL USUARIO INTERV. TEMPRANA Y ASIGN. ESPE.-CUND;
20258870000515;7/01/2025;887;DIRECCION SECCIONAL NORTE DE SANTANDER;
20255210000332;7/01/2025;924;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOLIVAR;130016001128202510528
20250180000142;7/01/2025;18;DIRECCION SECCIONAL SUCRE;700016001037202510059
20255980001945;7/01/2025;598;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOGOTA;110016099069202515273
20250060002042;7/01/2025;6;SECCIONAL CALI;
20250060001791;7/01/2025;6;SECCIONAL CALI;
20250060001801;7/01/2025;6;SECCIONAL CALI;
20250060002052;7/01/2025;6;SECCIONAL CALI;
20250060000715;7/01/2025;6;SECCIONAL CALI;
20250280000045;7/01/2025;28;SECCION DE ATENCION AL USUARIO INTERV. TEMPRANA Y ASIGN. ESPE.-CUND;
